s,C,m,mol/mol
Time,"temperature","visibility","CO"
 2.6915764E+000, 1.1179969E+002, 1.1601909E+000, 1.3412284E-004
 2.6998912E+000, 1.0578028E+002, 1.2243616E+000, 1.2510591E-004
 2.7082059E+000, 9.9682363E+001, 1.2978763E+000, 1.1612040E-004
 2.7165206E+000, 9.3510241E+001, 1.3837457E+000, 1.0711142E-004
 2.7248353E+000, 8.7632987E+001, 1.4805958E+000, 9.8500345E-005
 2.7331501E+000, 8.2344615E+001, 1.5837138E+000, 9.0737026E-005
 2.7414648E+000, 7.7556950E+001, 1.6938849E+000, 8.3692917E-005
 2.7497795E+000, 7.3204558E+001, 1.8110219E+000, 7.7308176E-005
 2.7580942E+000, 6.9303099E+001, 1.9333381E+000, 7.1601398E-005
 2.7672404E+000, 6.5459852E+001, 2.0744180E+000, 6.5982921E-005
 2.7763866E+000, 6.2026894E+001, 2.2224253E+000, 6.0964233E-005
 2.7855328E+000, 5.9009030E+001, 2.3744069E+000, 5.6548244E-005
 2.7946790E+000, 5.6288501E+001, 2.5334755E+000, 5.2563692E-005
 2.8038252E+000, 5.3786329E+001, 2.7013073E+000, 4.8923487E-005
 2.8129714E+000, 5.1589720E+001, 2.8695548E+000, 4.5745576E-005
 2.8221176E+000, 4.9796188E+001, 3.0251852E+000, 4.3152544E-005
 2.8312638E+000, 4.8376005E+001, 3.1624978E+000, 4.1097375E-005
 2.8404100E+000, 4.7261105E+001, 3.2803823E+000, 3.9483106E-005
 2.8495562E+000, 4.6389371E+001, 3.3793295E+000, 3.8222761E-005
 2.8587024E+000, 4.5711778E+001, 3.4607062E+000, 3.7244826E-005
 2.8678486E+000, 4.5205594E+001, 3.5241278E+000, 3.6516492E-005
 2.8769948E+000, 4.4835742E+001, 3.5719880E+000, 3.5985362E-005
 2.8861410E+000, 4.4579571E+001, 3.6058788E+000, 3.5618426E-005
 2.8952872E+000, 4.4430552E+001, 3.6256527E+000, 3.5407552E-005
 2.9044334E+000, 4.4382588E+001, 3.6316098E+000, 3.5344134E-005
 2.9126496E+000, 4.4419219E+001, 3.6260196E+000, 3.5402707E-005
 2.9208657E+000, 4.4527453E+001, 3.6107408E+000, 3.5564630E-005
 2.9290818E+000, 4.4704423E+001, 3.5863925E+000, 3.5826028E-005
 2.9372979E+000, 4.4945038E+001, 3.5539863E+000, 3.6180066E-005
 2.9455140E+000, 4.5234180E+001, 3.5156437E+000, 3.6607902E-005
 2.9537301E+000, 4.5557726E+001, 3.4735572E+000, 3.7089105E-005
