s,C,m,mol/mol
Time,"temperature","visibility","CO"
 4.8351979E+000, 1.2077031E+002, 1.1446139E+000, 1.3911616E-004
 4.8438531E+000, 1.2883464E+002, 1.0792110E+000, 1.5056752E-004
 4.8525082E+000, 1.3539342E+002, 1.0335132E+000, 1.5979029E-004
 4.8611633E+000, 1.4035514E+002, 1.0027320E+000, 1.6669565E-004
 4.8698184E+000, 1.4364289E+002, 9.8448600E-001, 1.7113505E-004
 4.8784735E+000, 1.4555696E+002, 9.7398664E-001, 1.7377424E-004
 4.8871286E+000, 1.4676490E+002, 9.6808869E-001, 1.7533731E-004
 4.8957838E+000, 1.4735455E+002, 9.6629771E-001, 1.7590896E-004
 4.9044389E+000, 1.4726468E+002, 9.6842907E-001, 1.7548430E-004
 4.9130940E+000, 1.4657138E+002, 9.7396878E-001, 1.7419844E-004
 4.9217491E+000, 1.4521640E+002, 9.8319513E-001, 1.7200667E-004
 4.9304042E+000, 1.4304936E+002, 9.9752797E-001, 1.6865707E-004
 4.9390594E+000, 1.3967100E+002, 1.0204674E+000, 1.6352752E-004
 4.9477145E+000, 1.3424123E+002, 1.0578986E+000, 1.5566675E-004
 4.9563696E+000, 1.2774245E+002, 1.1052016E+000, 1.4662722E-004
 4.9650247E+000, 1.2096786E+002, 1.1601514E+000, 1.3732185E-004
 4.9736798E+000, 1.1441858E+002, 1.2184416E+000, 1.2857959E-004
 4.9823350E+000, 1.0894346E+002, 1.2730402E+000, 1.2132651E-004
 4.9909901E+000, 1.0463647E+002, 1.3199020E+000, 1.1569988E-004
 4.9985789E+000, 1.0184010E+002, 1.3525393E+000, 1.1207226E-004
 5.0000000E+000, 1.0141416E+002, 1.3576883E+000, 1.1152041E-004
